hf,p5,sh,ID,Species
0.166444740346205,1.52880654561139,1.36993755038602,BBAL20,BBAL
1.76431424766977,1.80386891930911,1.35781881421634,BBAL20,BBAL
0.033288948069241,1.53827278043454,1.34648349616939,BBAL20,BBAL
0.266311584553928,1.40204253396399,1.34181307085321,BBAL20,BBAL
0.099866844207723,1.48186000824326,1.39997228418114,BBAL20,BBAL
0.166444740346205,1.44652281435736,1.39757974160296,BBAL20,BBAL
0.166444740346205,1.67226859384736,1.31469624285702,BBAL20,BBAL
0.166444740346205,1.76010431369201,1.37994326935923,BBAL20,BBAL
0.099866844207723,1.70248566298348,1.37397098169411,BBAL20,BBAL
0.133155792276964,1.5652987340542,1.37000595186406,BBAL20,BBAL
0.166444740346205,1.54995838936095,1.36359811605303,BBAL20,BBAL
0.199733688415446,1.56159795662023,1.37888798547038,BBAL20,BBAL
0.099866844207723,1.91384619309261,1.37767887101473,BBAL20,BBAL
0.033288948069241,2.00547694731628,1.3779405168708,BBAL20,BBAL
0.133155792276964,1.28941038654077,1.40717761210288,BBAL20,BBAL
0.266311584553928,1.47166164829275,1.35742461558685,BBAL20,BBAL
0.099866844207723,2.13687533725489,1.38644492210824,BBAL20,BBAL
1.59786950732357,2.05356076145136,1.37760427384788,BBAL20,BBAL
0.099866844207723,1.62205806356734,1.34709431277596,BBAL20,BBAL
0.299600532623169,1.29276872209487,1.37120880519607,BBAL20,BBAL
0.33288948069241,1.23377292495757,1.36632078919067,BBAL20,BBAL
0.266311584553928,1.29519458494358,1.38906427346015,BBAL20,BBAL
2.43009320905459,1.49167040059159,1.32443391030956,BBAL20,BBAL
0.199733688415446,1.55074142041939,1.36819044636293,BBAL20,BBAL
0.133155792276964,1.43721177930438,1.40258438530379,BBAL20,BBAL
0.099866844207723,1.96345951825873,1.37890397697327,BBAL20,BBAL
0.099866844207723,1.80372019906883,1.40754775685198,BBAL20,BBAL
0.133155792276964,1.63133692237143,1.33997762541895,BBAL20,BBAL
0.133155792276964,1.64148655426268,1.39075950570702,BBAL20,BBAL
0.199733688415446,1.53954277603821,1.37708536224105,BBAL20,BBAL
0.166444740346205,1.76120141024858,1.40980409073746,BBAL20,BBAL
0.166444740346205,1.45185124593987,1.35538400377674,BBAL20,BBAL
0.066577896138482,1.70454136569216,1.39329880124252,BBAL20,BBAL
